NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
INNATE/ADAPTIVE/MTDNA/DSRNA IMMUNE	INNATE/ADAPTIVE/MTDNA/DSRNA IMMUNE	Details ...	142	0.8722604	2.2978165	0.0	0.0	0.0	2664	tags=65%, list=8%, signal=71%	
INNATE IMMUNE	INNATE IMMUNE	Details ...	70	0.89420456	2.2015178	0.0	0.0	0.0	1562	tags=69%, list=5%, signal=72%	
ADAPTIVE IMMUNE	ADAPTIVE IMMUNE	Details ...	57	0.8773291	2.0930011	0.0	0.0	0.0	2646	tags=63%, list=8%, signal=69%	
MTDNA/DSRNA INNATE IMMUNE	MTDNA/DSRNA INNATE IMMUNE	Details ...	44	0.8659614	1.9883703	0.0	0.0	0.0	2159	tags=64%, list=7%, signal=68%	
MTDNA/DSRNA INNATE IMMUNE: MTDSRNA/MTDNA	MTDNA/DSRNA INNATE IMMUNE: MTDSRNA/MTDNA	Details ...	37	0.88664913	1.9799521	0.0	0.0	0.0	2159	tags=73%, list=7%, signal=78%	
PANOPTOSIS	PANOPTOSIS	Details ...	37	0.86457044	1.9360665	0.0	0.0	0.0	3092	tags=68%, list=9%, signal=74%	
RAAS: TISSUE DAMAGE: PANOPTOSIS	RAAS: TISSUE DAMAGE: PANOPTOSIS	Details ...	34	0.8644085	1.9357953	0.0	0.0	0.0	2180	tags=53%, list=7%, signal=57%	
RAAS: TISSUE DAMAGE	RAAS: TISSUE DAMAGE	Details ...	34	0.8644085	1.9143256	0.0	0.0	0.0	2180	tags=53%, list=7%, signal=57%	
INNATE IMMUNE: NON-CANONICAL	INNATE IMMUNE: NON-CANONICAL	Details ...	21	0.9279752	1.904994	0.0	0.0	0.0	1331	tags=71%, list=4%, signal=74%	
INNATE IMMUNE: CANONICAL	INNATE IMMUNE: CANONICAL	Details ...	26	0.9085673	1.8976977	0.0	0.0	0.0	2032	tags=85%, list=6%, signal=90%	
RAAS	RAAS	Details ...	73	0.7673871	1.896866	0.0	0.0	0.0	2689	tags=34%, list=8%, signal=37%	
