NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
OXPHOS: COMPLEX I-IV	OXPHOS: COMPLEX I-IV	Details ...	143	0.6848627	2.5954628	0.0	0.010163637	0.003	4814	tags=57%, list=15%, signal=67%	
METABOLISM: OXIDATIVE METABOLISM	METABOLISM: OXIDATIVE METABOLISM	Details ...	153	0.6660347	2.5390081	0.0	0.012392208	0.01	4814	tags=55%, list=15%, signal=64%	
OXPHOS: COMPLEX I	OXPHOS: COMPLEX I	Details ...	60	0.72447735	2.4509974	0.0061728396	0.015404066	0.019	5775	tags=65%, list=17%, signal=79%	
OXPHOS: COMPLEX V	OXPHOS: COMPLEX V	Details ...	22	0.8046868	2.1952507	0.0	0.02844624	0.049	3900	tags=64%, list=12%, signal=72%	
OXPHOS: COMPLEX IV	OXPHOS: COMPLEX IV	Details ...	39	0.6613767	2.0599952	0.004651163	0.026975356	0.057	3983	tags=56%, list=12%, signal=64%	
OXPHOS: MT-DNA TRNA	OXPHOS: MT-DNA TRNA	Details ...	16	0.7572959	1.9487959	0.0034722222	0.02510847	0.064	6145	tags=75%, list=19%, signal=92%	
OXPHOS	OXPHOS	Details ...	325	0.5568295	1.8322622	0.0	0.024379866	0.074	5845	tags=46%, list=18%, signal=56%	
OXPHOS: MT-RIBOSOME SUBUNITS: LARGE	OXPHOS: MT-RIBOSOME SUBUNITS: LARGE	Details ...	49	0.5353194	1.7402562	0.005235602	0.02980987	0.104	6329	tags=47%, list=19%, signal=58%	
OXPHOS: MT-RIBOSOME SUBUNITS	OXPHOS: MT-RIBOSOME SUBUNITS	Details ...	78	0.50925875	1.7302086	0.013333334	0.0270313	0.106	7654	tags=56%, list=23%, signal=73%	
OXPHOS:OXPHOS+TCA	OXPHOS:OXPHOS+TCA	Details ...	340	0.55190617	1.611691	0.0	0.045037195	0.192	5867	tags=46%, list=18%, signal=56%	
CYTOSOLIC PROTEIN IMPORT	CYTOSOLIC PROTEIN IMPORT	Details ...	28	0.54621094	1.5650853	0.012552301	0.05733825	0.249	6316	tags=46%, list=19%, signal=57%	
OXPHOS: MT-RIBOSOME SUBUNITS: SMALL	OXPHOS: MT-RIBOSOME SUBUNITS: SMALL	Details ...	29	0.4984564	1.4304402	0.031746034	0.11041644	0.469	7631	tags=66%, list=23%, signal=85%	
OXPHOS: MT-RIBOSOME	OXPHOS: MT-RIBOSOME	Details ...	102	0.39724627	1.4233724	0.035714287	0.10727392	0.49	7654	tags=46%, list=23%, signal=60%	
METABOLISM: TCA CYCLE	METABOLISM: TCA CYCLE	Details ...	19	0.53296006	1.4143212	0.07042254	0.10563572	0.511	7301	tags=63%, list=22%, signal=81%	
UPR MT/ER: TARGET-GENE	UPR MT/ER: TARGET-GENE	Details ...	30	0.38870475	1.1544889	0.24152543	0.3783057	0.941	2168	tags=20%, list=7%, signal=21%	
PANOPTOSIS: APOPTOSIS	PANOPTOSIS: APOPTOSIS	Details ...	16	0.44955084	1.1402875	0.2639405	0.37731063	0.949	6016	tags=38%, list=18%, signal=46%	
METABOLISM: GLYCOLYSIS	METABOLISM: GLYCOLYSIS	Details ...	17	0.42457482	1.0952556	0.30100334	0.43853617	0.975	5252	tags=35%, list=16%, signal=42%	
UPR MT/ER	UPR MT/ER	Details ...	39	0.33173665	1.0235405	0.35885167	0.564481	0.994	2168	tags=15%, list=7%, signal=16%	
ISR / UPR MT/ER	ISR / UPR MT/ER	Details ...	100	0.268229	0.93906516	0.5504587	0.74772733	1.0	1697	tags=12%, list=5%, signal=13%	
METABOLISM: NON-OXIDATIVE METABOLISM	METABOLISM: NON-OXIDATIVE METABOLISM	Details ...	129	0.23829283	0.9054969	0.71014494	0.80095196	1.0	6031	tags=29%, list=18%, signal=35%	
ANTIOXIDANT DEFENSES: GLUTATHIONE METABOLISM	ANTIOXIDANT DEFENSES: GLUTATHIONE METABOLISM		30	0.2918407	0.8601287	0.6771653	0.87352073	1.0	5162	tags=27%, list=16%, signal=32%	
ISR: TARGET-GENE	ISR: TARGET-GENE		49	0.2575766	0.8437804	0.8021978	0.8694479	1.0	4761	tags=20%, list=14%, signal=24%	
METABOLISM	METABOLISM		133	0.23218189	0.83984536	0.8630137	0.84116536	1.0	6031	tags=28%, list=18%, signal=34%	
RAAS: AGT REGULATOR AXIS	RAAS: AGT REGULATOR AXIS		16	0.324978	0.8029405	0.7753165	0.8765032	1.0	6698	tags=44%, list=20%, signal=55%	
ISR	ISR		65	0.22646202	0.74945474	0.96	0.9173819	1.0	4761	tags=20%, list=14%, signal=23%	
METABOLISM: NUCLEOTIDE SYNTHESIS: NUCLEAR	METABOLISM: NUCLEOTIDE SYNTHESIS: NUCLEAR		16	0.21967414	0.55715424	0.98867923	0.99036974	1.0	4509	tags=25%, list=14%, signal=29%	
