NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
INNATE/ADAPTIVE/MTDNA/DSRNA IMMUNE	INNATE/ADAPTIVE/MTDNA/DSRNA IMMUNE	Details ...	142	0.86636376	2.3247864	0.0	0.0	0.0	1480	tags=52%, list=4%, signal=54%	
INNATE IMMUNE	INNATE IMMUNE	Details ...	70	0.8999383	2.292194	0.0	0.0	0.0	1480	tags=66%, list=4%, signal=69%	
MTDNA/DSRNA INNATE IMMUNE	MTDNA/DSRNA INNATE IMMUNE	Details ...	44	0.89466316	2.1359031	0.0	0.0	0.0	1144	tags=59%, list=3%, signal=61%	
INNATE IMMUNE: CANONICAL	INNATE IMMUNE: CANONICAL	Details ...	26	0.9652943	2.1091204	0.0	0.0	0.0	834	tags=85%, list=3%, signal=87%	
MTDNA/DSRNA INNATE IMMUNE: MTDSRNA/MTDNA	MTDNA/DSRNA INNATE IMMUNE: MTDSRNA/MTDNA	Details ...	37	0.9127766	2.0587947	0.0	0.0	0.0	1144	tags=68%, list=3%, signal=70%	
MTDNA/DSRNA INNATE IMMUNE: MTDSRNA	MTDNA/DSRNA INNATE IMMUNE: MTDSRNA	Details ...	26	0.9356758	2.021877	0.0	0.0	0.0	1144	tags=77%, list=3%, signal=80%	
ADAPTIVE IMMUNE	ADAPTIVE IMMUNE	Details ...	57	0.81849223	2.00009	0.0	0.0	0.0	1803	tags=42%, list=5%, signal=44%	
RAAS: TISSUE DAMAGE	RAAS: TISSUE DAMAGE	Details ...	34	0.8599152	1.9746854	0.0	0.0	0.0	2026	tags=44%, list=6%, signal=47%	
RAAS	RAAS	Details ...	73	0.775056	1.9473413	0.0	0.0	0.0	2026	tags=30%, list=6%, signal=32%	
RAAS: TISSUE DAMAGE: PANOPTOSIS	RAAS: TISSUE DAMAGE: PANOPTOSIS	Details ...	34	0.8599152	1.9473304	0.0	0.0	0.0	2026	tags=44%, list=6%, signal=47%	
INNATE IMMUNE: NON-CANONICAL	INNATE IMMUNE: NON-CANONICAL	Details ...	21	0.90556705	1.8912477	0.0	0.0	0.0	1251	tags=62%, list=4%, signal=64%	
MTDNA/DSRNA INNATE IMMUNE: MTDNA	MTDNA/DSRNA INNATE IMMUNE: MTDNA	Details ...	20	0.8890273	1.8484479	0.0	0.0	0.0	1144	tags=55%, list=3%, signal=57%	
PANOPTOSIS	PANOPTOSIS	Details ...	37	0.79968584	1.8440455	0.0	0.0	0.0	2666	tags=35%, list=8%, signal=38%	
ADAPTIVE IMMUNE: SURFACE MARKER/RECEPTOR SIGNALING	ADAPTIVE IMMUNE: SURFACE MARKER/RECEPTOR SIGNALING	Details ...	28	0.7928242	1.7449179	0.0	0.0012610488	0.016	4186	tags=57%, list=13%, signal=65%	
INNATE IMMUNE: INFLAMMATION	INNATE IMMUNE: INFLAMMATION	Details ...	18	0.83702475	1.7171588	0.001490313	0.0027389105	0.036	3288	tags=67%, list=10%, signal=74%	
HIF: SELECTED HIF TARGET	HIF: SELECTED HIF TARGET	Details ...	63	0.6574985	1.6290356	0.0024125453	0.01243943	0.158	5075	tags=40%, list=15%, signal=47%	
EXTRACELLULAR MATRIX	EXTRACELLULAR MATRIX	Details ...	269	0.59448886	1.6285105	0.0	0.011767655	0.158	4241	tags=32%, list=13%, signal=36%	
HIF	HIF	Details ...	78	0.6222783	1.5998591	0.0035756854	0.017655144	0.238	5443	tags=37%, list=16%, signal=44%	
HIF: HIF/GLYCOLYSIS	HIF: HIF/GLYCOLYSIS	Details ...	78	0.6222783	1.5740194	0.0058892816	0.024249457	0.328	5443	tags=37%, list=16%, signal=44%	
METABOLISM: GLYCOLYSIS	METABOLISM: GLYCOLYSIS	Details ...	17	0.7753853	1.5653727	0.015082956	0.025506714	0.364	1138	tags=24%, list=3%, signal=24%	
OXPHOS: MT-DNA TRNA	OXPHOS: MT-DNA TRNA		16	0.7493974	1.501066	0.036697246	0.050474703	0.609	7998	tags=94%, list=24%, signal=124%	
SENESCENCE: INDUCED	SENESCENCE: INDUCED		340	0.53603536	1.4950871	0.0	0.051171303	0.637	3895	tags=22%, list=12%, signal=25%	
ISR: TARGET-GENE	ISR: TARGET-GENE		49	0.59612006	1.4443693	0.033877037	0.08298717	0.828	4993	tags=41%, list=15%, signal=48%	
OXPHOS: MT-RIBOSOME SUBUNITS: LARGE	OXPHOS: MT-RIBOSOME SUBUNITS: LARGE		49	0.600125	1.4390948	0.052564103	0.08385658	0.848	10244	tags=61%, list=31%, signal=89%	
ISR	ISR		65	0.57794815	1.4316459	0.03436019	0.08635697	0.873	4245	tags=32%, list=13%, signal=37%	
PANOPTOSIS: APOPTOSIS	PANOPTOSIS: APOPTOSIS		16	0.711068	1.4072239	0.086021505	0.10295546	0.922	4993	tags=44%, list=15%, signal=52%	
RAAS: AGT REGULATOR AXIS	RAAS: AGT REGULATOR AXIS		16	0.6961132	1.4032136	0.09984639	0.10295521	0.925	1346	tags=19%, list=4%, signal=20%	
HIF/MTOR/GLYCOLYSIS	HIF/MTOR/GLYCOLYSIS		123	0.5247893	1.3874809	0.031354982	0.11358448	0.945	5075	tags=28%, list=15%, signal=33%	
METABOLISM: NUCLEOTIDE SYNTHESIS	METABOLISM: NUCLEOTIDE SYNTHESIS		22	0.65638334	1.3816264	0.09011628	0.11506679	0.953	7578	tags=45%, list=23%, signal=59%	
ISR / UPR MT/ER	ISR / UPR MT/ER		100	0.5258111	1.3527251	0.040650405	0.13912003	0.978	4253	tags=27%, list=13%, signal=31%	
ANTIOXIDANT DEFENSES	ANTIOXIDANT DEFENSES		68	0.53327537	1.3238531	0.07756563	0.16506577	0.994	4318	tags=35%, list=13%, signal=41%	
METABOLISM: FATTY ACID OXIDATION	METABOLISM: FATTY ACID OXIDATION		15	0.662793	1.2932495	0.1693038	0.19616954	0.999	4731	tags=47%, list=14%, signal=54%	
METABOLISM: NON-OXIDATIVE METABOLISM	METABOLISM: NON-OXIDATIVE METABOLISM		129	0.48332605	1.2858196	0.0859375	0.19950213	1.0	5728	tags=31%, list=17%, signal=37%	
METABOLISM: NUCLEOTIDE SYNTHESIS: NUCLEAR	METABOLISM: NUCLEOTIDE SYNTHESIS: NUCLEAR		16	0.6389507	1.2832054	0.2031496	0.19649872	1.0	7578	tags=44%, list=23%, signal=57%	
OXPHOS: MT-RIBOSOME SUBUNITS	OXPHOS: MT-RIBOSOME SUBUNITS		78	0.5033738	1.2657727	0.122786306	0.21400028	1.0	10747	tags=62%, list=32%, signal=91%	
METABOLISM	METABOLISM		133	0.47486693	1.2645864	0.08960177	0.20950018	1.0	5728	tags=30%, list=17%, signal=36%	
RAAS: VASCULAR INFLAMMATION	RAAS: VASCULAR INFLAMMATION		23	0.6004112	1.2598022	0.18786128	0.21008916	1.0	4357	tags=35%, list=13%, signal=40%	
RAAS: VASCULAR INFLAMMATION: BRADYKININ PRODUCTION	RAAS: VASCULAR INFLAMMATION: BRADYKININ PRODUCTION		17	0.59108824	1.2161936	0.24256651	0.2632177	1.0	3718	tags=29%, list=11%, signal=33%	
SENESCENCE: INHIBITED	SENESCENCE: INHIBITED		458	0.43026018	1.2023969	0.055387713	0.27654594	1.0	2923	tags=16%, list=9%, signal=18%	
OXPHOS: MT-RIBOSOME	OXPHOS: MT-RIBOSOME		102	0.43247724	1.1333262	0.276644	0.3788207	1.0	10927	tags=58%, list=33%, signal=86%	
ANTIOXIDANT DEFENSES: GLUTATHIONE METABOLISM	ANTIOXIDANT DEFENSES: GLUTATHIONE METABOLISM		30	0.49414828	1.1073643	0.3265306	0.41657916	1.0	5571	tags=47%, list=17%, signal=56%	
UPR MT/ER: TARGET-GENE: UPR ER	UPR MT/ER: TARGET-GENE: UPR ER		19	0.5432963	1.1070691	0.34822804	0.4074906	1.0	6217	tags=32%, list=19%, signal=39%	
UPR MT/ER	UPR MT/ER		39	0.42543447	0.9937236	0.4881579	0.6127753	1.0	4253	tags=18%, list=13%, signal=21%	
OXPHOS	OXPHOS		325	0.3418117	0.95171595	0.637105	0.67476207	1.0	10005	tags=47%, list=30%, signal=67%	
OXPHOS: COMPLEX V	OXPHOS: COMPLEX V		22	0.4533973	0.9432956	0.5562044	0.67514336	1.0	6201	tags=32%, list=19%, signal=39%	
OXPHOS:OXPHOS+TCA	OXPHOS:OXPHOS+TCA		340	0.31690225	0.89121187	0.7710233	0.75137734	1.0	10005	tags=46%, list=30%, signal=65%	
UPR MT/ER: TARGET-GENE	UPR MT/ER: TARGET-GENE		30	0.37776732	0.83760226	0.68556005	0.82291347	1.0	4253	tags=17%, list=13%, signal=19%	
METABOLISM: OXIDATIVE METABOLISM	METABOLISM: OXIDATIVE METABOLISM		153	0.3040363	0.8263944	0.8058888	0.82267195	1.0	10005	tags=44%, list=30%, signal=63%	
OXPHOS: COMPLEX I-IV	OXPHOS: COMPLEX I-IV		143	0.301264	0.8090256	0.836933	0.8314948	1.0	10005	tags=45%, list=30%, signal=64%	
METABOLISM: PEROXISOME	METABOLISM: PEROXISOME		21	0.3683492	0.7814632	0.76419216	0.85198325	1.0	4410	tags=14%, list=13%, signal=16%	
OXPHOS: COMPLEX I	OXPHOS: COMPLEX I		60	0.3145491	0.77474767	0.8117942	0.843934	1.0	10005	tags=45%, list=30%, signal=64%	
OXPHOS: MT-RIBOSOME SUBUNITS: SMALL	OXPHOS: MT-RIBOSOME SUBUNITS: SMALL		29	0.32958567	0.7344898	0.82861	0.8776258	1.0	11378	tags=66%, list=34%, signal=100%	
OXPHOS: COMPLEX IV	OXPHOS: COMPLEX IV		39	0.31456223	0.7250825	0.8715232	0.8710017	1.0	9571	tags=46%, list=29%, signal=65%	
