NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
INNATE IMMUNE	INNATE IMMUNE	Details ...	70	0.8380701	2.3391352	0.0	0.0	0.0	2250	tags=56%, list=7%, signal=60%	
INNATE/ADAPTIVE/MTDNA/DSRNA IMMUNE	INNATE/ADAPTIVE/MTDNA/DSRNA IMMUNE	Details ...	142	0.74928933	2.2668962	0.0	0.0	0.0	3751	tags=51%, list=11%, signal=58%	
INNATE IMMUNE: CANONICAL	INNATE IMMUNE: CANONICAL	Details ...	26	0.9170153	2.1815538	0.0	0.0	0.0	1710	tags=77%, list=5%, signal=81%	
MTDNA/DSRNA INNATE IMMUNE: MTDSRNA/MTDNA	MTDNA/DSRNA INNATE IMMUNE: MTDSRNA/MTDNA	Details ...	37	0.83383	2.0793822	0.0	0.0	0.0	2168	tags=54%, list=7%, signal=58%	
MTDNA/DSRNA INNATE IMMUNE: MTDSRNA	MTDNA/DSRNA INNATE IMMUNE: MTDSRNA	Details ...	26	0.86359286	2.0707247	0.0	0.0	0.0	2564	tags=62%, list=8%, signal=67%	
MTDNA/DSRNA INNATE IMMUNE	MTDNA/DSRNA INNATE IMMUNE	Details ...	44	0.7974736	2.052408	0.0	0.0	0.0	3658	tags=55%, list=11%, signal=61%	
INNATE IMMUNE: NON-CANONICAL	INNATE IMMUNE: NON-CANONICAL	Details ...	21	0.83912075	1.9067763	0.0	5.2820134E-4	0.004	584	tags=43%, list=2%, signal=44%	
MTDNA/DSRNA INNATE IMMUNE: MTDNA	MTDNA/DSRNA INNATE IMMUNE: MTDNA	Details ...	20	0.8061782	1.8197916	0.0	0.0014435864	0.012	3658	tags=50%, list=11%, signal=56%	
ADAPTIVE IMMUNE	ADAPTIVE IMMUNE	Details ...	57	0.6651996	1.8096166	0.0	0.0015983079	0.015	4624	tags=51%, list=14%, signal=59%	
RAAS: TISSUE DAMAGE	RAAS: TISSUE DAMAGE	Details ...	34	0.7055032	1.7699091	0.0014619883	0.002738381	0.029	4626	tags=47%, list=14%, signal=55%	
