NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
OXPHOS: MT-DNA TRNA	OXPHOS: MT-DNA TRNA	Details ...	16	0.5658113	1.2840722	0.14717741	1.0	0.96	8967	tags=50%, list=27%, signal=69%	
INNATE IMMUNE: NON-CANONICAL	INNATE IMMUNE: NON-CANONICAL	Details ...	21	0.51782024	1.216363	0.21019109	0.881033	0.992	8	tags=5%, list=0%, signal=5%	
UPR MT/ER: TARGET-GENE: UPR ER	UPR MT/ER: TARGET-GENE: UPR ER	Details ...	19	0.4428233	1.0307969	0.39181286	1.0	1.0	1549	tags=11%, list=5%, signal=11%	
HIF: SELECTED HIF TARGET	HIF: SELECTED HIF TARGET	Details ...	63	0.33330134	0.97478396	0.5123457	1.0	1.0	5294	tags=22%, list=16%, signal=26%	
HIF: HIF/GLYCOLYSIS	HIF: HIF/GLYCOLYSIS	Details ...	78	0.30507225	0.9284755	0.57309943	1.0	1.0	5294	tags=23%, list=16%, signal=27%	
HIF	HIF	Details ...	78	0.30507225	0.9216127	0.6344538	1.0	1.0	5294	tags=23%, list=16%, signal=27%	
RAAS: AGT REGULATOR AXIS	RAAS: AGT REGULATOR AXIS	Details ...	16	0.39366812	0.88351184	0.6026616	1.0	1.0	187	tags=6%, list=1%, signal=6%	
UPR MT/ER: TARGET-GENE	UPR MT/ER: TARGET-GENE	Details ...	30	0.32881582	0.8417909	0.71203154	1.0	1.0	3453	tags=17%, list=10%, signal=19%	
OXPHOS: MT-BIOGENESIS: NDNA TRANSCRIPTION	OXPHOS: MT-BIOGENESIS: NDNA TRANSCRIPTION	Details ...	27	0.32506937	0.8219593	0.7580994	0.9735429	1.0	4847	tags=22%, list=15%, signal=26%	
OXPHOS: MT-BIOGENESIS	OXPHOS: MT-BIOGENESIS	Details ...	30	0.2908723	0.7444709	0.8831967	0.9881928	1.0	4847	tags=20%, list=15%, signal=23%	
MTOR: MTOR STRUCTURAL: MTORC1	MTOR: MTOR STRUCTURAL: MTORC1	Details ...	15	0.3357511	0.74164176	0.81459564	0.9013033	1.0	2345	tags=20%, list=7%, signal=22%	
